901846,que,que
880533,de,de
819699,no,no
611752,a,a
579239,la,la
496588,el,el
455669,es,ser
431626,y,y
419569,en,en
384105,lo,lo
367663,un,un
281330,por,por
271508,que,que
265738,me,me
237320,una,uno
221906,te,te
208081,los,los
203606,se,se
186404,con,con
176975,para,para
164158,mi,mi
162001,esta,este
161207,si,si
145125,bien,bueno
137415,pero,pero
131597,yo,yo
131278,eso,eso
130178,las,las
128963,si,si
124712,su,su
114982,tu,tu
108363,aqui,aqui
107237,del,del
106581,al,al
103093,como,como
95140,le,el
93086,mas,mas
86414,esto,esto
80722,ya,ya
80303,todo,todo
80239,esta,este
77603,vamos,vamos
71768,muy,muy
70847,hay,haber
69168,ahora,ahora
67686,algo,algo
67269,estoy,estar
64410,tengo,tener
61613,nos,nos
61188,tu,tu
58182,nada,nada
57509,cuando,cuando
56993,ha,haber
56720,este,este
56640,se,se
56060,estas,este
56027,asi,asi
54065,puedo,poder
53984,como,como
53182,quiero,querer
53001,solo,solo
52436,soy,ser
52317,tiene,tener
51700,gracias,gracias
50711,o,o
50348,el,el
49997,bueno,bueno
49660,fue,ir
48858,ser,ser
47951,hacer,hacer
46687,son,son
46246,todos,todo
45986,era,ser
45976,eres,ser
45289,vez,vez
44842,tienes,tener
43419,creo,crear
43044,ella,ella
43039,he,he
41337,ese,ese
40525,voy,ir
39279,puede,puede
38981,sabes,sabes
38193,hola,hola
37939,sus,sus
37344,porque,porque
37179,dios,dios
37048,quien,quien
36804,nunca,nunca
36597,donde,donde
36495,quieres,querer
36471,casa,casa
36008,favor,favor
35810,esa,ese
35659,dos,dos
35392,tan,tan
35350,senor,senor
35323,tiempo,tiempo
34780,verdad,verdad
34278,estaba,estar
33822,mejor,mejor
33779,estan,estan
33430,va,ir
33418,hombre,hombre
33388,usted,usted
33126,mucho,mucho
32752,hace,hacer
32738,entonces,entonces
32509,siento,sentar
32278,tenemos,tener
31087,puedes,poder
30871,ahi,ahi
30241,ti,tu
30193,vida,vida
30078,ver,ver
28668,alguien,alguien
28512,sr,Sr.
28288,hasta,hasta
28224,sin,sin
28032,mi,mi
27777,solo,solo
27497,anos,anos
27308,sobre,sobre
27267,decir,decir
27231,uno,uno
27032,siempre,siempre
27012,oh,oh
26440,ir,ir
26385,cosas,cosa
26380,tambien,tambien
26182,antes,antes
25839,has,haber
25808,ni,ni
25698,mis,mi
25128,dia,dia
24873,estar,estar
24838,estamos,estar
23802,noche,noche
23720,nadie,nadie
23486,otra,otro
23437,quiere,querer
23345,parece,parecer
23218,nosotros,nosotros
23142,poco,poco
22847,padre,padre
22692,trabajo,trabajo
22682,gente,gente
22612,mira,mira
22408,vas,ir
22318,sea,ser
22108,les,les
22108,donde,donde
21822,mismo,mismo
21794,hecho,hecho
21719,ellos,el
21108,dijo,decir
20596,pasa,pasa
20300,dinero,dinero
19958,hijo,hijo
19851,tal,tal
19479,otro,otro
19368,hablar,hablar
19295,seguro,seguro
19178,claro,claro
18775,estas,este
18752,lugar,lugar
18726,mundo,mundo
18582,amigo,amigo
18474,espera,espera
18459,mierda,mierda
18453,han,haber
18370,tus,tu
18336,sabe,saber
18115,despues,despues
17973,momento,momento
17891,desde,desde
17816,fuera,fuera
17755,cosa,cosa
17742,tipo,tipo
17701,manana,manana
17075,podemos,podar
16903,dije,dije
16657,gran,grande
16629,necesito,necesitar
16361,estado,estado
16203,podria,podria
16201,acuerdo,acuerdo
16091,papa,papa
15981,tener,tener
15976,dice,decir
15928,mio,mio
15900,crees,crear
15836,buena,buena
15711,gusta,gustar
15704,nuestro,nuestro
15677,nuevo,nuevo
15624,sera,sera
15575,haciendo,hacer
15509,dias,dia
15496,nombre,nombre
15479,buen,bueno
15468,habia,habia
15454,ven,venir
15409,tres,tres
15360,menos,menos
15354,debe,deber
15230,tenia,tenia
15165,mal,malo
15109,conmigo,conmigo
15059,madre,madre
15029,hoy,hoy
14992,quien,quien
14631,sido,ser
14533,mama,mama
14509,tienen,tener
14237,luego,luego
14137,todas,todo
13904,alli,alli
13755,toda,todo
13644,hora,hora
13579,mujer,mujer
13428,visto,visto
13421,haces,haz
13343,importa,importar
13331,contigo,contigo
13190,ve,ve
13172,tarde,tarde
13170,oye,oye
13145,parte,parte
13090,haber,haber
13066,hombres,hombre
12884,problema,problema
12852,mas,mas
12761,saber,saber
12694,queria,queria
12626,aun,aun
12612,veces,veces
12569,nuestra,nuestro
12461,hacerlo,hacer
12318,cada,cada
12052,hizo,hacer
12032,veo,ver
12011,tanto,tanto
11993,razon,razon
11968,ustedes,ustedes
11832,idea,idea
11684,esos,ese
11631,van,van
11557,quiza,quiza
11533,debo,deber
11504,alguna,alguno
11488,cierto,cierto
11337,ud,oud
11335,muerto,muerto
11228,unos,un
11181,estos,este
11160,salir,salir
11152,policia,policia
11034,realmente,realmente
11015,demasiado,demasiado
10942,familia,familia
10847,pueden,poder
10846,cabeza,cabeza
10733,hemos,hemo
10596,amigos,amigo
10488,chica,chico
10485,carino,carino
10472,lado,lado
10407,alla,alla
10385,entre,entre
10380,minutos,minuto
10367,digo,digo
10364,algun,algun
10270,serio,serio
10201,cuidado,cuidado
10161,paso,paso
10153,buenas,buenas
10121,somos,ser
10109,amor,amor
9983,puerta,puerta
9947,ves,ver
9943,vaya,vaya
9939,ah,relief
9820,suerte,suerte
9797,eh,eh
9776,rapido,rapido
9711,cuenta,cuenta
9645,quizas,quizas
9613,io,io
9582,esas,ese
9541,pues,pues
9445,pasado,pasado
9441,pense,pense
9334,todavia,todavia
9312,hermano,hermano
9268,debes,deber
9261,casi,casi
9229,forma,forma
9213,aqui,aqui
9185,chico,chico
9146,ok,ok
9125,dicho,dicho
9099,nueva,nueva
